slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
pyth-mainnet,,!offer:pyth,,mainnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,,mainnet,,,,,,,,,,,,
witnet-mainnet,,!offer:witnet,,mainnet,,,,,,,,,,,,
