slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
etherscan,,!offer:etherscan,,mainnet,,,,,,,,,,,
tenderly-explorer,,!offer:tenderly-explorer,,mainnet,,,,,,,,,,,
