slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,,!offer:3xpl,"[""[Explore](https://3xpl.com/mantle)""]",mainnet,,,,,,,,,,,
etherscan-mainnet,,!offer:etherscan,"[""[Explore](https://mantlescan.xyz/)""]",mainnet,,,,,,,,,,,
etherscan-sepolia,,!offer:etherscan,"[""[Explore](https://sepolia.mantlescan.xyz/)""]",sepolia,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,"[""[Explore](https://dashboard.tenderly.co/explorer/mantle)""]",mainnet,,,,,,,,,,,
