slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
2miners,2Miners,,"[""[Website](https://2miners.com/zec-mining-pool)""]",Finance,"[""PoW"",""Mining"",""Payouts""]",1% Fee,,Pay-as-you-go,User-friendly Zcash mining pool with regular payouts and robust monitoring tools,FALSE
nowpayments,,!offer:nowpayments,"[""[Website](https://nowpayments.io/supported-coins/zcash-payments)""]",,,,,,,
