slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
band-mainnet,,!offer:band,"[""[Docs](https://docs.bandchain.org/develop/supported-blockchains/)""]",mainnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://docs.chain.link/ccip/directory/mainnet/chain/ethereum-mainnet-xlayer-1)""]",mainnet,,,,,,,,,,,,
