slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
bitget-wallet-mainnet,,!offer:bitget-wallet,,,,,,,,,,,,,,,,,,,
okxwallet,,!offer:okxwallet,,,,,,,,,,,,,,,,,,,
