slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
chainlink-mainnet,,!offer:chainlink,"[""[Docs](https://data.chain.link/feeds)"", ""[HyperEVM Tools](https://hyperliquid.gitbook.io/hyperliquid-docs/builder-tools/hyperevm-tools)""]",mainnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/hyperevm)"", ""[HyperEVM Tools](https://hyperliquid.gitbook.io/hyperliquid-docs/builder-tools/hyperevm-tools)""]",mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/contract-addresses/evm)"", ""[HyperEVM Tools](https://hyperliquid.gitbook.io/hyperliquid-docs/builder-tools/hyperevm-tools)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Docs](https://app.redstone.finance/app/feeds/?page=1&sortBy=popularity&sortDesc=false&perPage=32&networks=999,998)"", ""[HyperEVM Tools](https://hyperliquid.gitbook.io/hyperliquid-docs/builder-tools/hyperevm-tools)""]",mainnet,,,,,,,,,,,,
