slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
chainstack-rpc-nodes-mcp,,!offer:chainstack-rpc-nodes-mcp,,,,,,,,,,,,,,,,
portals-mcp-server,,!offer:portals-mcp-server,,,,,,,,,,,,,,,,
solana-mcp-agent-kit,,!offer:solana-mcp-agent-kit,,,,,,,,,,,,,,,,
solana-mcp-server-opensvm,,!offer:solana-mcp-server-opensvm,,,,,,,,,,,,,,,,
solx402-mcp-server,,!offer:solx402-mcp-server,,,,,,,,,,,,,,,,
