slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
berachain-mainnet-public-rpc,,!offer:berachain-public-rpc,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
berachain-testnet-public-rpc,,!offer:berachain-public-rpc,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
