slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
core-scan-mainnet,,!offer:etherscan,"[""[Explore](https://scan.coredao.org/)"",""[Docs](https://docs.etherscan.io/introduction)""]",mainnet,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,"[""[Explore](https://dashboard.tenderly.co/explorer/core)""]",mainnet,,,,,,,,,,,
