slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-soneium,,!offer:api3,"[""[Website](https://market.api3.org/soneium)""]",mainnet,,,,,,,,,,,,
pyth-soneium,,!offer:pyth,"[""[Docs](https://docs.pyth.network)""]",mainnet,,,,,,,,,,,,
